Time,Simple_Harmonic_Motion,Damped_Harmonic_Motion,Smoothed_Simple_Harmonic_Motion,Smoothed_Damped_Harmonic_Motion
0,0,0,0.515936723499571,0.465839418099531
0.101010101010101,0.59290792905464,0.556447377063594,0.623202747303346,0.54467078310211
0.202020202020202,0.954902241444074,0.841070877235,0.611974170615231,0.523721146727563
0.303030303030303,0.945000818714668,0.781164878109848,0.605628583915617,0.519100997651736
0.404040404040404,0.567059863862771,0.439922601229375,0.363415200860568,0.323332042489691
0.505050505050505,-0.0317279334980679,-0.0231007453791343,-0.0203336791402351,0.0314964255230898
0.606060606060606,-0.618158986220605,-0.422397398746634,-0.39616341493619,-0.237181602122145
0.707070707070707,-0.963842158559942,-0.618107207598006,-0.617703551199864,-0.386242095979228
0.808080808080808,-0.934147860265107,-0.562225260116328,-0.598673180568938,-0.374897578677559
0.909090909090909,-0.540640817455598,-0.305379868056038,-0.346483861387509,-0.226458939552463
1.01010101010101,0.0634239196565649,0.0336218411292095,0.0406468839891882,-0.0120859261124858
1.11111111111111,0.642787609686539,0.319795796878848,0.411947314863126,0.181195478039077
1.21212121212121,0.971811568323542,0.45375785960188,0.622810956668927,0.28452237709401
1.31313131313131,0.922354294104582,0.404181760641486,0.591114964076777,0.270460268371979
1.41414141414141,0.513677391573407,0.211254627218626,0.329203642036211,0.158195800790228
1.51515151515152,-0.0950560433041828,-0.0366887024809454,-0.0609191608714528,0.000893725539372436
1.61616161616162,-0.666769000516291,-0.241526541029908,-0.427316418763273,-0.137986831622084
1.71717171717172,-0.978802446214779,-0.332752516652397,-0.627291244298048,-0.2093544482371
1.81818181818182,-0.909631995354519,-0.290221025165798,-0.582961544922462,-0.194901712077868
1.91919191919192,-0.486196736100469,-0.145583455856452,-0.311591942522781,-0.110196311779332
2.02020202020202,0.12659245357375,0.0355749783152129,0.0811300973226162,0.00510613847210682
2.12121212121212,0.690079011482111,0.182000460462775,0.442255251251787,0.104778036065127
2.22222222222222,0.984807753012208,0.243759734604795,0.631139902817363,0.153874677826163
2.32323232323232,0.895993774291336,0.208138462799302,0.574221132907944,0.140294035713257
2.42424242424242,0.45822652172741,0.0998997529487266,0.293666496335749,0.0765229176055567
2.52525252525253,-0.158001395973348,-0.0323282322493125,-0.101259342642879,-0.00790547405589856
2.62626262626263,-0.712694171378862,-0.136855130075729,-0.456748770190663,-0.079349957012736
2.72727272727273,-0.989821441880932,-0.178382223702481,-0.63435305695398,-0.112974471655944
2.82828282828283,-0.881453363447583,-0.149083951984885,-0.564902528887228,-0.100870190248313
2.92929292929293,-0.429794912089172,-0.0682228202673136,-0.275445352879949,-0.0529583289853841
3.03030303030303,0.189251244360411,0.0281931747888416,0.121286628388489,0.00879914461097273
3.13131313131313,0.734591708657534,0.102704176238917,0.470782381834893,0.0599452246336357
3.23232323232323,0.993838464461254,0.130405144279303,0.636927471334051,0.0828570569539709
3.33333333333333,0.866025403784438,0.10664644812843,0.555015115904661,0.0724392275211687
3.43434343434343,0.400930535406615,0.0463363413343623,0.256946859302302,0.0365120923077342
3.53535353535354,-0.22031053278654,-0.0238959723751692,-0.141191788780337,-0.00861586800990618
3.63636363636364,-0.755749574354256,-0.0769314998282555,-0.484341955527127,-0.0451824774197865
3.73737373737374,-0.996854775951942,-0.0952346573088985,-0.638860553740516,-0.0607045755331314
3.83838383838384,-0.849725429949515,-0.0761865989209718,-0.544568849746992,-0.0519586445707496
3.93939393939394,-0.371662455660327,-0.0312741492323618,-0.23818964201779,-0.0250674094854275
4.04040404040404,0.251147987181081,0.0198336824367395,0.1609547810092,0.00787537284757253
4.14141414141414,0.776146464291754,0.0575246755983553,0.497413837926058,0.0339828255650902
4.24242424242424,0.998867339183008,0.0694792543561015,0.640150357723257,0.0444285110314728
4.34343434343434,0.832569854634772,0.0543506646666164,0.533574248918755,0.0372219246263175
4.44444444444444,0.342020143325669,0.0209542780995516,0.219192587954238,0.0171286776396733
4.54545454545455,-0.28173255684143,-0.016199249589037,-0.180555705417139,-0.00689478091023815
4.64646464646465,-0.795761840530831,-0.0429415593348661,-0.50998486675416,-0.0255082830041911
4.74747474747475,-0.999874127673875,-0.0506380383934556,-0.640795584558991,-0.0324829279680357
4.84848484848485,-0.814575952050335,-0.0387168458031484,-0.522042384051009,-0.0266304763243589
4.94949494949495,-0.312033445698485,-0.0139189467196716,-0.199974825534776,-0.0116412726203288
5.05050505050505,0.312033445698483,0.0130630086293472,0.199974825534774,0.00586013033877216
5.15151515151515,0.814575952050334,0.0320044591852846,0.522042384051008,0.0191111414083291
5.25252525252525,0.999874127673875,0.0368689764020491,0.640795584558992,0.0237249534003456
5.35353535353535,0.795761840530832,0.0275382095446363,0.509984866754163,0.0190273425791282
5.45454545454545,0.281732556841436,0.00915011324041094,0.180555705417142,0.00786308649529585
5.55555555555556,-0.342020143325664,-0.0104250454767397,-0.219192587954235,-0.00487407886251496
5.65656565656566,-0.832569854634769,-0.0238168212338773,-0.533574248918753,-0.0142929248451528
5.75757575757576,-0.998867339183008,-0.026816850387005,-0.640150357723256,-0.0173107201856881
5.85858585858586,-0.776146464291758,-0.0195560203685528,-0.497413837926057,-0.0135760711313892
5.95959595959596,-0.25114798718108,-0.00593886346226573,-0.1609547810092,-0.00527309265060633
6.06060606060606,0.371662455660328,0.00824819979475492,0.23818964201779,0.00398741782950995
6.16161616161616,0.849725429949515,0.0176980711700369,0.544568849746993,0.0106714880852368
6.26262626262626,0.996854775951942,0.0194857020135764,0.638860553740518,0.0126178787057336
6.36363636363636,0.75574957435426,0.0138643309100816,0.484341955527129,0.00967257049717279
6.46464646464646,0.220310532786542,0.00379308964021808,0.141191788780338,0.00350636705487911
6.56565656565657,-0.400930535406613,-0.00647834124804906,-0.256946859302301,-0.00321965101052828
6.66666666666667,-0.866025403784439,-0.0131329460414315,-0.55501511590466,-0.00795488869625048
6.76767676767677,-0.993838464461255,-0.0141443883134605,-0.636927471334051,-0.00918797884619973
6.86868686868687,-0.734591708657536,-0.00981185751852942,-0.470782381834895,-0.00688103352844963
6.96969696969697,-0.189251244360413,-0.00237236110952819,-0.12128662838849,-0.00230798617340305
7.07070707070707,0.42979491208917,0.00505638534070145,0.275445352879947,0.00257223990027894
7.17171717171717,0.881453363447582,0.00973229073380143,0.564902528887228,0.00592080095311105
7.27272727272727,0.989821441880934,0.0102567420549494,0.634353056953981,0.00668368773340616
7.37373737373737,0.712694171378866,0.00693094774563113,0.456748770190666,0.00488740404732683
7.47474747474747,0.158001395973354,0.00144207279194735,0.101259342642882,0.00150037403322439
7.57575757575758,-0.458226521727408,-0.00392503308969518,-0.293666496335746,-0.0020369724210055
7.67676767676768,-0.895993774291335,-0.00720285933671079,-0.574221132907942,-0.00440040467837529
7.77777777777778,-0.984807753012208,-0.00742999021619999,-0.631139902817362,-0.0048570666045884
7.87878787878788,-0.690079011482111,-0.00488621354121785,-0.442255251251786,-0.00346561788850467
7.97979797979798,-0.126592453573747,-0.000841236839118197,-0.0811300973226156,-0.000960217017877999
8.08080808080808,0.486196736100472,0.00303221049072346,0.311591942522782,0.00160112159618438
8.18181818181818,0.909631995354517,0.00532414501642258,0.582961544922463,0.00326584930455539
8.28282828282828,0.978802446214781,0.00537670285411192,0.62729124429805,0.00352607900118115
8.38383838383838,0.666769000516292,0.00343742500063717,0.427316418763274,0.00245313656706609
8.48484848484848,0.0950560433041888,0.000459911644010608,0.0609191608714546,0.000602174387661038
8.58585858585859,-0.513677391573408,-0.00233250167985181,-0.32920364203621,-0.00125051735302931
8.68686868686869,-0.92235429410458,-0.0039306658806027,-0.591114964076777,-0.00242054925324442
8.78787878787879,-0.971811568323544,-0.00388675584933982,-0.622810956668929,-0.00255721660166407
8.88888888888889,-0.64278760968654,-0.00241273450043835,-0.411947314863128,-0.00173323396275588
8.98989898989899,-0.0634239196565718,-0.000223425098087672,-0.0406468839891905,-0.000367407620451203
9.09090909090909,0.540640817455598,0.00178741151468916,0.346483861387507,0.000971282679268199
9.19191919191919,0.934147860265105,0.00289846583092067,0.598673180568935,0.00179170486584923
9.29292929292929,0.963842158559943,0.00280669564925719,0.617703551199863,0.00185266540527121
9.39393939393939,0.618158986220602,0.0016893764324668,0.396163414936191,0.00122218550052948
9.49494949494949,0.031727933498069,8.13775990222452e-05,0.020333679140236,0.000215520773835309
9.5959595959596,-0.567059863862765,-0.00136498800901948,-0.363415200860568,-0.000750732099810598
9.6969696969697,-0.945000818714669,-0.00213485780255021,-0.605628583915615,-0.00132456158233841
9.7979797979798,-0.954902241444075,-0.00202456871897234,-0.61197417061523,-0.00134083710214286
9.8989898989899,-0.592907929054638,-0.00117977098017225,-0.623202747303346,-0.0013347993754237
10,-2.44929359829471e-15,-4.57391552795436e-18,-0.515936723499572,-0.0010681132330482
